Index,Type,Weight,Price,
174,Shrimp,4.808,1.220,
175,Crab,0.283,3.050,
176,Fish,7.736,2.405,
177,Fish,2.933,2.405,
178,Shrimp,2.150,1.220,
179,Fish,13.809,2.405,
180,Fish,14.388,2.405,
181,Fish,7.556,2.405,
182,Shrimp,2.428,1.220,
183,Fish,5.073,2.405,
185,Fish,14.468,2.405,
186,Crab,6.044,3.050,
187,Shrimp,1.079,1.220,
189,Fish,8.065,2.405,
190,Fish,14.939,2.405,
191,Shrimp,2.759,1.220,
192,Shrimp,0.486,1.220,
193,Fish,9.776,2.405,
195,Crab,1.691,3.050,
196,Shrimp,1.764,1.220,
197,Shrimp,4.541,1.220,
199,Fish,13.413,2.405,
200,Crab,8.518,3.050,
202,Fish,3.108,2.405,
204,Fish,1.196,2.405,
205,Crab,3.494,3.050,
208,Shrimp,0.844,1.220,
212,Crab,8.479,3.050,
213,Fish,6.539,2.405,
215,Shrimp,3.573,1.220,
216,Shrimp,0.624,1.220,
217,Crab,7.288,3.050,
219,Crab,6.370,3.050,
220,Fish,3.340,2.405,
222,Shrimp,3.766,1.220,
224,Crab,3.099,3.050,
225,Shrimp,3.087,1.220,
226,Shrimp,2.514,1.220,
227,Crab,1.636,3.050,
228,Crab,1.541,3.050,
229,Crab,6.073,3.050,
230,Crab,6.716,3.050,
231,Shrimp,1.900,1.220,
232,Crab,9.339,3.050,
235,Shrimp,1.440,1.220,
236,Crab,7.906,3.050,
237,Shrimp,1.165,1.220,
238,Fish,4.347,2.405,
239,Fish,11.125,2.405,
241,Fish,11.333,2.405,
242,Crab,6.610,3.050,
243,Fish,4.626,2.405,
244,Fish,4.481,2.405,
245,Crab,9.459,3.050,
247,Shrimp,3.486,1.220,
248,Crab,8.214,3.050,
251,Crab,3.298,3.050,
252,Fish,6.670,2.405,
253,Shrimp,1.211,1.220,
254,Crab,4.482,3.050,
256,Shrimp,2.545,1.220,
259,Fish,9.174,2.405,
260,Crab,9.822,3.050,
261,Shrimp,3.085,1.220,
262,Crab,5.794,3.050,
265,Shrimp,0.866,1.220,
268,Fish,14.311,2.405,
269,Crab,1.562,3.050,
271,Fish,5.099,2.405,
273,Crab,5.879,3.050,
274,Fish,4.163,2.405,
275,Crab,0.453,3.050,
276,Fish,5.045,2.405,
277,Shrimp,3.808,1.220,
279,Shrimp,0.306,1.220,
280,Fish,4.094,2.405,
281,Fish,2.870,2.405,
282,Fish,6.229,2.405,
283,Crab,0.721,3.050,
284,Shrimp,0.697,1.220,
285,Crab,1.730,3.050,
286,Shrimp,3.426,1.220,
287,Crab,4.074,3.050,
288,Shrimp,2.691,1.220,
289,Shrimp,2.618,1.220,
290,Fish,6.406,2.405,
291,Shrimp,3.300,1.220,
292,Shrimp,1.082,1.220,
293,Shrimp,1.354,1.220,
294,Shrimp,2.442,1.220,
295,Crab,1.729,3.050,
297,Fish,12.734,2.405,
299,Fish,3.708,2.405,
300,Shrimp,4.901,1.220,
